,PM10_1
0,27.0
1,28.0
2,26.0
3,26.0
4,22.0
5,25.0
6,24.0
7,23.0
8,40.0
9,49.0
10,43.0
11,43.0
12,42.0
13,40.0
14,39.0
15,42.0
16,44.0
17,43.0
18,48.0
19,51.0
20,45.0
21,33.0
22,11.0
23,10.0
24,9.0
25,9.0
26,10.0
27,11.0
28,11.0
29,13.0
30,14.0
31,15.0
32,18.0
33,24.0
34,26.0
35,30.0
36,34.0
37,31.0
38,28.0
39,31.0
40,32.0
41,38.0
42,40.0
43,46.0
44,43.0
45,41.0
46,40.0
47,38.0
48,37.0
49,42.0
50,41.0
51,40.0
52,37.0
53,35.0
54,31.0
55,30.0
56,31.0
57,34.0
58,35.0
59,36.0
60,35.0
61,34.0
62,39.0
63,35.0
64,35.0
65,39.0
66,37.0
67,40.0
68,41.0
69,39.0
70,41.0
71,41.0
72,38.0
73,37.0
74,35.0
75,33.0
76,34.0
77,35.0
78,36.0
79,41.0
80,42.0
81,43.0
82,45.0
83,43.0
84,41.0
85,45.0
86,40.0
87,40.0
88,38.0
89,37.0
90,37.0
91,35.0
92,33.0
93,38.0
94,39.0
95,40.0
96,38.0
97,41.0
98,40.0
99,41.0
100,40.0
101,42.0
102,40.0
103,38.0
104,39.0
105,41.0
106,44.0
107,39.0
108,37.0
109,42.0
110,43.0
111,42.0
112,43.0
113,44.0
114,42.0
115,43.0
116,35.0
117,30.0
118,10.0
119,8.0
120,6.0
121,10.0
122,16.0
123,7.0
124,3.0
125,3.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,4.0
134,4.0
135,4.0
136,4.0
137,8.0
138,5.0
139,5.0
140,5.0
141,5.0
142,4.0
143,5.0
144,4.0
145,5.0
146,5.0
147,5.0
148,5.0
149,8.0
150,4.0
151,9.0
152,8.0
153,13.0
154,18.0
155,17.0
156,14.0
157,19.0
158,19.0
159,19.0
160,20.0
161,23.0
162,21.0
163,19.0
164,17.0
165,17.0
166,12.0
167,15.0
168,13.0
169,21.0
170,19.0
171,20.0
172,19.0
173,19.0
174,19.0
175,23.0
176,24.0
177,29.0
178,29.0
179,31.0
180,23.0
181,21.0
182,18.0
183,19.0
184,15.0
185,16.0
186,14.0
187,14.0
188,14.0
189,14.0
190,11.0
191,14.0
192,12.0
193,11.0
194,7.0
195,7.0
196,4.0
197,4.0
198,8.0
199,10.0
200,7.0
201,7.0
202,9.0
203,11.0
204,8.0
205,8.0
206,9.0
207,8.0
208,9.0
209,14.0
210,9.0
211,14.0
212,12.0
213,11.0
214,13.0
215,14.0
216,15.0
217,19.0
218,15.0
219,14.0
220,16.0
221,20.0
222,18.0
223,24.0
224,29.0
225,32.0
226,32.0
227,31.0
228,15.0
229,6.0
230,4.0
231,4.0
232,3.0
233,3.0
234,13.0
235,23.0
236,24.0
237,27.0
238,33.0
239,37.0
240,42.0
241,41.0
242,36.0
243,34.0
244,28.0
245,25.0
246,25.0
247,22.0
248,19.0
249,26.0
250,30.0
251,31.0
252,31.0
253,30.0
254,26.0
255,21.0
256,20.0
257,19.0
258,19.0
259,18.0
260,16.0
261,13.0
262,12.0
263,16.0
264,13.0
265,11.0
266,7.0
267,7.0
268,5.0
269,9.0
270,9.0
271,10.0
272,11.0
273,18.0
274,15.0
275,13.0
276,11.0
277,11.0
278,14.0
279,13.0
280,13.0
281,13.0
282,14.0
283,12.0
284,13.0
285,11.0
286,10.0
287,11.0
288,8.0
289,11.0
290,10.0
291,13.0
292,9.0
293,13.0
294,11.0
295,11.0
296,10.0
297,12.0
298,9.0
299,7.0
300,6.0
301,38.92593020568523
302,18.0
303,16.0
304,14.0
305,18.0
306,19.0
307,19.0
308,14.0
309,15.0
310,13.0
311,13.0
312,11.0
313,15.0
314,13.0
315,14.0
316,13.0
317,11.0
318,12.0
319,16.0
320,16.0
321,24.0
322,26.0
323,28.0
324,22.0
325,28.0
326,29.0
327,31.0
328,32.0
329,28.0
330,24.0
331,21.0
332,17.0
333,21.0
334,18.0
335,20.0
336,20.0
337,23.0
338,27.0
339,30.0
340,26.0
341,22.0
342,18.0
343,21.0
344,21.0
345,25.0
346,23.0
347,17.0
348,38.92593020568523
349,38.92593020568523
350,38.92593020568523
351,38.92593020568523
352,21.0
353,23.0
354,23.0
355,22.0
356,22.0
357,35.0
358,32.0
359,31.0
360,23.0
361,18.0
362,21.0
363,25.0
364,25.0
365,32.0
366,33.0
367,40.0
368,39.0
369,45.0
370,42.0
371,38.0
372,35.0
373,34.0
374,37.0
375,39.0
376,37.0
377,30.0
378,28.0
379,24.0
380,22.0
381,20.0
382,18.0
383,18.0
384,17.0
385,18.0
386,16.0
387,17.0
388,17.0
389,17.0
390,18.0
391,17.0
392,22.0
393,21.0
394,21.0
395,25.0
396,23.0
397,20.0
398,21.0
399,25.0
400,21.0
401,20.0
402,24.0
403,25.0
404,22.0
405,26.0
406,20.0
407,15.0
408,16.0
409,18.0
410,18.0
411,20.0
412,17.0
413,20.0
414,18.0
415,19.0
416,26.0
417,27.0
418,25.0
419,35.0
420,27.0
421,29.0
422,27.0
423,27.0
424,26.0
425,30.0
426,31.0
427,30.0
428,27.0
429,22.0
430,21.0
431,22.0
432,18.0
433,20.0
434,16.0
435,21.0
436,18.0
437,20.0
438,18.0
439,22.0
440,21.0
441,22.0
442,19.0
443,22.0
444,24.0
445,32.0
446,38.0
447,37.0
448,36.0
449,34.0
450,37.0
451,38.0
452,36.0
453,33.0
454,33.0
455,38.0
456,35.0
457,33.0
458,27.0
459,27.0
460,25.0
461,24.0
462,25.0
463,24.0
464,22.0
465,38.92593020568523
466,38.92593020568523
467,23.0
468,21.0
469,23.0
470,25.0
471,31.0
472,35.0
473,39.0
474,32.0
475,30.0
476,25.0
477,25.0
478,26.0
479,30.0
480,28.0
481,26.0
482,26.0
483,24.0
484,24.0
485,28.0
486,25.0
487,24.0
488,30.0
489,34.0
490,30.0
491,31.0
492,39.0
493,31.0
494,32.0
495,36.0
496,44.0
497,46.0
498,36.0
499,37.0
500,37.0
501,34.0
502,33.0
503,34.0
504,30.0
505,32.0
506,32.0
507,32.0
508,32.0
509,37.0
510,44.0
511,44.0
512,49.0
513,52.0
514,44.0
515,44.0
516,33.0
517,20.0
518,17.0
519,20.0
520,28.0
521,31.0
522,34.0
523,40.0
524,46.0
525,47.0
526,45.0
527,43.0
528,40.0
529,41.0
530,39.0
531,38.0
532,38.0
533,39.0
534,41.0
535,39.0
536,36.0
537,39.0
538,42.0
539,42.0
540,37.0
541,38.0
542,40.0
543,36.0
544,31.0
545,33.0
546,33.0
547,31.0
548,25.0
549,24.0
550,30.0
551,31.0
552,34.0
553,34.0
554,31.0
555,31.0
556,29.0
557,32.0
558,27.0
559,27.0
560,28.0
561,34.0
562,33.0
563,29.0
564,23.0
565,24.0
566,24.0
567,31.0
568,31.0
569,23.0
570,23.0
571,23.0
572,18.0
573,19.0
574,24.0
575,29.0
576,27.0
577,27.0
578,24.0
579,23.0
580,24.0
581,24.0
582,24.0
583,25.0
584,25.0
585,31.0
586,34.0
587,27.0
588,23.0
589,26.0
590,22.0
591,24.0
592,23.0
593,28.0
594,34.0
595,37.0
596,32.0
597,31.0
598,33.0
599,35.0
600,31.0
601,31.0
602,29.0
603,29.0
604,28.0
605,30.0
606,29.0
607,34.0
608,39.0
609,39.0
610,38.92593020568523
611,38.92593020568523
612,44.0
613,53.0
614,63.0
615,58.0
616,64.0
617,77.0
618,76.0
619,65.0
620,58.0
621,51.0
622,47.0
623,57.0
624,64.0
625,64.0
626,58.0
627,60.0
628,59.0
629,68.0
630,76.0
631,78.0
632,80.0
633,66.0
634,55.0
635,44.0
636,35.0
637,34.0
638,35.0
639,36.0
